cutoff,bin,region1,region2,pair,z,p_raw,p_FDR,sig
20,Small,OFT,RV,OFT-RV,5.180480576749271,2.213149730145858e-07,3.319724595218787e-06,True
20,Small,OFT,LV,OFT-LV,-1.3711165474256326,0.170338627392026,0.42705082092633184,False
20,Small,OFT,AVC,OFT-AVC,-1.0592971880854745,0.28946445516566843,0.43570683831967716,False
20,Small,OFT,AB,OFT-AB,-1.3870200586120793,0.1654356464631377,0.42705082092633184,False
20,Small,OFT,Atria,OFT-Atria,-0.48925624395905504,0.6246602948762734,0.7207618787033924,False
20,Small,RV,LV,RV-LV,-1.2063583239192728,0.2276793581270855,0.42705082092633184,False
20,Small,RV,AVC,RV-AVC,0.35633143833755926,0.721592368024556,0.7731346800263099,False
20,Small,RV,AB,RV-AB,-1.2209264775602349,0.22211385839537057,0.42705082092633184,False
20,Small,RV,Atria,RV-Atria,-0.9277495250774905,0.3535375120697921,0.4820966073678983,False
20,Small,LV,AVC,LV-AVC,-0.824498438767757,0.4096564025211187,0.5120705031513983,False
20,Small,LV,AB,LV-AB,-1.057088442137857,0.29047122554645144,0.43570683831967716,False
20,Small,LV,Atria,LV-Atria,-1.4762803123278876,0.13986865710650176,0.42705082092633184,False
20,Small,AVC,AB,AVC-AB,4.914442662521409,8.903537682680707e-07,6.67765326201053e-06,True
20,Small,AVC,Atria,AVC-Atria,-0.04412598090425684,0.9648039831835844,0.9648039831835844,False
20,Small,AB,Atria,AB-Atria,1.2061479792831786,0.22776043782737698,0.42705082092633184,False
20,Large,OFT,RV,OFT-RV,1.1771915567936249,0.23911905787223864,0.5123979811547971,False
20,Large,OFT,LV,OFT-LV,-3.2349761434150306,0.0012165289490548847,0.01824793423582327,True
20,Large,OFT,AVC,OFT-AVC,-1.5633652100552138,0.11796671822014071,0.34407514512308446,False
20,Large,OFT,AB,OFT-AB,-0.32256565199294884,0.7470242100161393,0.8432460219528337,False
20,Large,OFT,Atria,OFT-Atria,0.33101340262125944,0.7406343618821749,0.8432460219528337,False
20,Large,RV,LV,RV-LV,0.8056450253187779,0.4204475561948091,0.7452270859231496,False
20,Large,RV,AVC,RV-AVC,0.02352737935054638,0.9812295989630786,0.9812295989630786,False
20,Large,RV,AB,RV-AB,-1.48467454439095,0.13763005804923378,0.34407514512308446,False
20,Large,RV,Atria,RV-Atria,-0.5969477514402426,0.5505422647399005,0.8258133971098508,False
20,Large,LV,AVC,LV-AVC,1.6102546430513982,0.1073422766854275,0.34407514512308446,False
20,Large,LV,AB,LV-AB,-0.5131253425649809,0.607863645192158,0.828904970716579,False
20,Large,LV,Atria,LV-Atria,-0.7601979811828918,0.4471362515538897,0.7452270859231496,False
20,Large,AVC,AB,AVC-AB,2.0303746822723965,0.04231846813681672,0.23415111525003973,False
20,Large,AVC,Atria,AVC-Atria,0.27016980607037483,0.7870296204893115,0.8432460219528337,False
20,Large,AB,Atria,AB-Atria,1.987832454676825,0.046830223050007946,0.23415111525003973,False
25,Small,OFT,RV,OFT-RV,4.421511751083194,9.801273294085533e-06,7.35095497056415e-05,True
25,Small,OFT,LV,OFT-LV,-1.7592151832192526,0.07854096632734642,0.29452862372754907,False
25,Small,OFT,AVC,OFT-AVC,-0.30538258727331585,0.7600747821347811,0.9096098703414859,False
25,Small,OFT,AB,OFT-AB,-0.1175593015968195,0.9064168538817892,0.9096098703414859,False
25,Small,OFT,Atria,OFT-Atria,-0.3951517504158691,0.6927308986711984,0.9096098703414859,False
25,Small,RV,LV,RV-LV,0.14478895304169084,0.8848775045087882,0.9096098703414859,False
25,Small,RV,AVC,RV-AVC,-0.11353064323091129,0.9096098703414859,0.9096098703414859,False
25,Small,RV,AB,RV-AB,-1.5755359318220783,0.11513279133189025,0.34539837399567075,False
25,Small,RV,Atria,RV-Atria,-1.4494648225813287,0.14720781731414978,0.35751359468346705,False
25,Small,LV,AVC,LV-AVC,-1.022668725449901,0.30646450318603646,0.5107741719767275,False
25,Small,LV,AB,LV-AB,-1.3085880907903304,0.19067391716451576,0.35751359468346705,False
25,Small,LV,Atria,LV-Atria,-1.7855589916508616,0.07417069173080182,0.29452862372754907,False
25,Small,AVC,AB,AVC-AB,4.964190018555989,6.898837494606624e-07,1.0348256241909937e-05,True
25,Small,AVC,Atria,AVC-Atria,-0.3835083292616675,0.7013428956407539,0.9096098703414859,False
25,Small,AB,Atria,AB-Atria,1.326854829478702,0.18455670900135268,0.35751359468346705,False
25,Large,OFT,RV,OFT-RV,1.8003928439867798,0.07179862996375852,0.3066340249610022,False
25,Large,OFT,LV,OFT-LV,-2.6386596211252877,0.008323450554696521,0.12485175832044781,False
25,Large,OFT,AVC,OFT-AVC,-1.921827569150349,0.054627458107382676,0.3066340249610022,False
25,Large,OFT,AB,OFT-AB,-1.2687799967459827,0.20451954140788042,0.4382561601597437,False
25,Large,OFT,Atria,OFT-Atria,0.8026608113931943,0.42217080944496743,0.6332562141674511,False
25,Large,RV,LV,RV-LV,-0.08001512092022758,0.9362252297759954,0.9802479509833237,False
25,Large,RV,AVC,RV-AVC,0.2732042308571291,0.784696227903551,0.9802479509833237,False
25,Large,RV,AB,RV-AB,-0.9721572763498707,0.3309723114045342,0.6205730838835016,False
25,Large,RV,Atria,RV-Atria,-0.030700744968626396,0.9755081970447541,0.9802479509833237,False
25,Large,LV,AVC,LV-AVC,1.5519377917619714,0.12067710917917296,0.3405026493935631,False
25,Large,LV,AB,LV-AB,-0.24070357560879968,0.8097848675054635,0.9802479509833237,False
25,Large,LV,Atria,LV-Atria,-0.8876766349512485,0.37471471769366405,0.6245245294894401,False
25,Large,AVC,AB,AVC-AB,1.4900881492922649,0.13620105975742525,0.3405026493935631,False
25,Large,AVC,Atria,AVC-Atria,-0.024758051328098555,0.9802479509833237,0.9802479509833237,False
25,Large,AB,Atria,AB-Atria,1.7405124645399346,0.08176907332293393,0.3066340249610022,False
30,Small,OFT,RV,OFT-RV,4.384618169241099,1.1618939758539781e-05,8.714204818904836e-05,True
30,Small,OFT,LV,OFT-LV,-2.0877436558552693,0.03682096456002637,0.1380786171000989,False
30,Small,OFT,AVC,OFT-AVC,-0.5483148809766438,0.5834757112306668,0.8249356567447469,False
30,Small,OFT,AB,OFT-AB,-0.46637837149047656,0.6409446901510019,0.8249356567447469,False
30,Small,OFT,Atria,OFT-Atria,-0.6413375041369689,0.5213034274587633,0.8249356567447469,False
30,Small,RV,LV,RV-LV,-0.3081431861077591,0.7579733811654115,0.8249356567447469,False
30,Small,RV,AVC,RV-AVC,-0.34079639977401754,0.733256860961504,0.8249356567447469,False
30,Small,RV,AB,RV-AB,-1.7857137442349116,0.07414561882933901,0.22243685648801703,False
30,Small,RV,Atria,RV-Atria,-1.6446900885563922,0.10003373781153169,0.2500843445288292,False
30,Small,LV,AVC,LV-AVC,-0.2924534500174114,0.7699399462950971,0.8249356567447469,False
30,Small,LV,AB,LV-AB,-0.9175210131320433,0.35886968688879417,0.6728806629164891,False
30,Small,LV,Atria,LV-Atria,-1.5508321356727826,0.12094191723603487,0.2591612512200747,False
30,Small,AVC,AB,AVC-AB,4.992000704022513,5.975703734062421e-07,8.963555601093631e-06,True
30,Small,AVC,Atria,AVC-Atria,0.10543263934110968,0.9160325179371529,0.9160325179371529,False
30,Small,AB,Atria,AB-Atria,2.181115865179934,0.029174847670536685,0.1380786171000989,False
30,Large,OFT,RV,OFT-RV,1.4245718770163651,0.15428099420978159,0.46284298262934476,False
30,Large,OFT,LV,OFT-LV,-2.4373112678353186,0.014796936152546625,0.22195404228819937,False
30,Large,OFT,AVC,OFT-AVC,-2.1550072208149555,0.03116126917018791,0.23370951877640933,False
30,Large,OFT,AB,OFT-AB,-1.0989732968935448,0.27177971352943997,0.5823851004202285,False
30,Large,OFT,Atria,OFT-Atria,0.737582745285083,0.4607680438627164,0.8442718390021622,False
30,Large,RV,LV,RV-LV,0.38073188164020977,0.7034022093205334,0.8442718390021622,False
30,Large,RV,AVC,RV-AVC,0.007181166425293717,0.9942703074266417,0.9942703074266417,False
30,Large,RV,AB,RV-AB,-0.6377573250357284,0.52363166302133,0.8442718390021622,False
30,Large,RV,Atria,RV-Atria,-0.29279658049571133,0.7696776421417384,0.8442718390021622,False
30,Large,LV,AVC,LV-AVC,1.7255147248754232,0.08443475246748111,0.42217376233740556,False
30,Large,LV,AB,LV-AB,0.2689254528171629,0.7879870497353514,0.8442718390021622,False
30,Large,LV,Atria,LV-Atria,-0.29741915235609245,0.7661465234235141,0.8442718390021622,False
30,Large,AVC,AB,AVC-AB,1.4562430315158958,0.14532544772073708,0.46284298262934476,False
30,Large,AVC,Atria,AVC-Atria,-0.5594456847518364,0.5758575901299576,0.8442718390021622,False
30,Large,AB,Atria,AB-Atria,1.2267895902872075,0.21990168435325286,0.5497542108831321,False
35,Small,OFT,RV,OFT-RV,4.388907042091574,1.1392174797286714e-05,8.544131097965035e-05,True
35,Small,OFT,LV,OFT-LV,-2.36981053383775,0.01779720274215335,0.08898601371076675,False
